id,type,category_id,content
1,乳がん,1.1.1.1.,病院によって治療にばらつきがあると聞いていたので、最新の治療、信頼できる病院選択のためインターネット等で真剣に調べた。
2,乳がん,1.1.1.1.,病院の方針、技術が的確か、特に主治医が信頼できるかどうかを判断する情報、指標がなく、少ない知識と感情で判断しなくてはならなかったので不安だった。
3,乳がん,1.1.1.1.,より適切な治療を受けたいので、医師、病院、治療方法について悩み、資料を探すのが大変だった。
4,乳がん,1.1.1.1.,がんと診断されたが、どこの病院、どの医師にかかればよいのかわからずどうしたらよいのかと悩んだ。
5,乳がん,1.1.1.1.,病院はどうやって選べばよいのか。その情報はどこから入手すればよいのか。
6,乳がん,1.1.1.1.,治療を受けながら、一時中断して出産することについて、相談できる病院が見つからない。
7,乳がん,1.1.1.1.,手術する病院の選択で悩んだ。
8,乳がん,1.1.1.1.,病院はどうやって選べばよいのか。相談できる場所もわからない。
9,乳がん,1.1.1.1.,がんの不安や恐怖と共に医師の心無い言動に傷つき、信頼できる医師を求めて病院を巡った。病院での治療内容、医師のランクなどの情報が欲しかった。
10,乳がん,1.1.1.2.,病院の予約がすぐとれない
11,乳がん,1.1.1.2.,病院の選択で、家の近所か職場の近所か、個人病院か大きな大学病院かと悩んだ。
12,乳がん,1.1.1.2.,がんと診断されたが、どこの病院、どの医師にかかればよいのかわからずどうしたらよいのかと悩んだ。
13,乳がん,1.1.1.3.,がんと診断を受けた病院は設備が悪いため、手術を受ける病院は手術経験の豊富な医師のいる設備の整った病院を求め探すのに悩んだ。
14,乳がん,1.1.1.3.,優秀な医師とよい設備がある病院はどこか探すのに悩んだ。
15,乳がん,1.1.1.3.,通院に便利で設備が整った病院を探すことに悩んだ。
16,乳がん,1.1.1.3.,最初にがんを発見した病院では治療ができず、専門病院の存在を全然知らず病院探しに困った。
17,乳がん,1.1.1.3.,友人は東京の大きな病院、私は地方の病院。やはり地域格差というのは本当だと思った。
18,乳がん,1.1.1.3.,自分の今住んでいるところ（地域）で治療を受けるか、子どもの住んでいるところで受けるべきか悩んだ。
19,乳がん,1.1.1.3.,がん治療にベストな病院や医師の選択、自宅から病院までの距離（通院負担）とで悩んだ。
20,乳がん,1.1.1.3.,病院の選択で、家の近所か職場の近所か、個人病院か大きな大学病院かと悩んだ。
21,乳がん,1.1.1.3.,病院が変わったが、病院の選択に間違いはなかったかとすごく不安であった。
22,乳がん,1.1.1.3.,どこの病院で治療を受けるか。子供が小学生と幼稚園児だったので近いのが条件だが、近くに専門の病院がない。幼い子どものことを考えると近い病院でと思うが、近くにがん専門病院がなかったため、どうしたらよいかと悩んだ。
23,乳がん,1.1.1.5.,乳がんの手術後、浮腫もなく、腕も不自由なく動かせるため、リハビリをせずに退院した。知り合いから「リハビリをしないと後で大変になる」といわれ、リンパ浮腫外来を探したい。
24,乳がん,1.1.1.5.,乳がん治療で生じた耳の症状について、地元の病院の耳鼻科ではがんの治療中であるという理由で積極的な治療をしてもらえない。症例の少ない合併症を生じた場合、どこで受診したらよいのか。
25,乳がん,1.1.1.7.,これから治療を受けるためにはどの病院や医師がよいか選択に悩んだ。
26,乳がん,1.1.1.7.,診断後、ショックを受けたまま、病院、治療の選択をしなくてはならず悩んだ。
27,乳がん,1.1.1.7.,信頼できる病院と医師を求めて、複数の医療機関を受診し、考慮のうえ選択した。
28,乳がん,1.1.1.7.,夫の転勤で県外に引っ越しているときにがんの診断を受け、現在地の病院にするか、実家の近くの病院にするか悩んだ。
29,乳がん,1.1.1.7.,診断を受けた病院でそのまま手術を受けることに悩んだ。
30,乳がん,1.1.1.7.,どの病院がよいのか、どこで治療を受けたらよいのかと悩んだ。
31,乳がん,1.1.1.7.,開業医でよいか、病院に移った方がよいか。
32,乳がん,1.1.1.7.,別の病院で診てもらいたいという思いはあったが、もう一度検査する勇気がなく、初めの医師を信頼して手術してもらった。
33,乳がん,1.1.1.7.,病院の選択、どこでどう治療すべきか。
34,乳がん,1.1.1.7.,乳がんの再建手術をしたいが、家の近くではできなさそうなので、自分で納得する病院選びに悩んでいる。
35,乳がん,1.1.1.8.,信頼できる医師に出会えるか不安だった。
36,乳がん,1.1.1.8.,現在の病院は症状によって医師が代わるので、医師の人柄のいい病院に転院を考えている。
37,乳がん,1.1.1.8.,信頼できる医師に巡り会うまで探す決心をし、1か月の間に5件の病院を巡り、泣きながら七転八倒の思いで医師を探し求めた。
38,乳がん,1.1.1.8.,手術担当医の技術について。どの医師が手術するのか、技術についてはどうかなど知る方法が見つからない。
39,乳がん,1.1.1.8.,がん専門病院で人間性に欠ける扱いを受け、転院することにしたが、次の病院の選択、現在の主治医への転院要望など、がんと診断されたことと二重の精神的苦痛だった。
40,乳がん,1.1.1.8.,信頼できる医療者を見つけるにはどうすればいいかまったくわからず、右往左往した。
41,乳がん,1.2.1.1.,受付から診察まで長い時間待たされるのは肉体的にも精神的にも疲れる。
42,乳がん,1.2.1.1.,検査通院のたびに朝食抜きで、長時間待った後の検査診察となり、更に高額な検査も加わり心身ともにかなりの負担となるため、悩んだ末2年半で検査通院を中止した。
43,乳がん,1.2.1.1.,通院時、待ち時間が長く疲れやすいので辛い。
44,乳がん,1.2.1.1.,診察時間は3分なのに待ち時間が2時間半とどうにかならないかと思う。
45,乳がん,1.2.1.1.,待ち時間が長いため、診察の曜日は仕事を休みにしてもらい収入が減った。
46,乳がん,1.2.1.1.,予約してあるのに待ち時間が長くて負担になっている。治療は終わっているので病院を移ればよいのかもしれないが、医師とのつながりもあり悩んでいる。
47,乳がん,1.2.1.2.,通院治療のため、体力的に耐えられるのか不安だった。
48,乳がん,1.2.1.2.,抗がん剤治療の副作用と通院が大変だった。
49,乳がん,1.2.1.2.,毎週の抗がん剤治療は外来で行われるので体に負担がかかる。
50,乳がん,1.2.1.2.,抗がん剤治療中、注射のときだけでも入院したかったが、通院治療なので歩くこともつらかった。
51,乳がん,2.1.1.2.,子どもが小さかったので、入院中の対応(保育所の入所等)に苦労した。
52,乳がん,2.1.1.2.,介護が必要な家族がいるため、入院中は施設に預けなければいけないのだが、入院日の決定が間際なのでなかなか手続きができずに困った。
54,乳がん,2.1.2.1.,入院待ちがとても長く感じられ、不安だった。
55,乳がん,2.1.2.1.,入院まで時間がかかり、転移を心配した。
56,乳がん,2.1.2.1.,入院待ちの間、落ち着かず、緊張の糸がいつ切れるか不安だった。
57,乳がん,2.1.2.1.,診断から手術まで1か月以上あったので、その間がとても精神的に苦しかった。
58,乳がん,2.1.2.1.,1日も早く手術して元気になりたかったが、患者が多く入院が遅れ、不安がつのった。
59,乳がん,2.1.2.1.,病院はベッド待ちですぐに手術できず、何でもいいから早く取ってほしかった。
60,乳がん,2.1.2.2.,ベッドの空きを待つ間にがんがどんどん進行する気がして不安だった。
61,乳がん,2.1.2.2.,再発や転移や抗がん剤治療のことなどが心配だった。ベッド待ちの間、1日も早く入院したいと思った。
62,乳がん,2.1.2.2.,温存できるはずだったのが6週間の入院待ちの間に広がり、全摘になってしまった。検査をした後に速やかに手術をできるよう段取りをうまくしてほしい。
63,乳がん,2.1.3.1.,入院、治療（手術）することについて不安だった。
64,乳がん,2.1.3.1.,子どもがいるので、転移したり、入院が長期化したりすることが不安だった。
65,乳がん,2.1.3.1.,入院すること自体が不安だった。
66,乳がん,2.1.3.1.,初めての入院でわからないことがたくさんあり不安だった。
67,乳がん,2.1.3.2.,できるだけ入院はしたくなかった。毎日ぼうっと時が過ぎるという入院生活は私には苦痛だった。
68,乳がん,2.1.3.2.,大部屋で楽しい入院生活だったが、症状が1人1人違い、気詰まりの時もあった。特に抗がん剤の前日は、その様子を見て落ち込んだ。
69,乳がん,2.1.3.2.,入院中、同室者に気を遣った。
70,乳がん,2.1.3.3.,同じ病気の人たちが元気で前向きなことに安心すると共に、再発した人から「再発すると完治しづらい」とか「1年以内に再発するとよくない」とか聞かされ、気持ちが揺らいで不安がつのった。
71,乳がん,2.1.3.3.,他の患者の話があまりにも生々しく、耳を覆いたくなることが多々あった。
72,乳がん,2.1.3.3.,便秘がちで投薬治療を受けていた関係でトイレへ行く回数が多く、日中も寝ていることが多かったので、同室の人からもろもろのいやみを言われつらかった。
73,乳がん,2.1.3.3.,大部屋だったため、同室の人に悩まされた。
74,乳がん,2.1.3.4.,抗がん剤治療後、白血球の数値がなかなか正常値に戻らず、担当医から「感染にかからないように」と念を押されたため、見舞客に訳を話して丁寧に断ったのだが、気分を害されて今も尾を引いている。病気をして気分が落ち込んでいる時に、先祖がたたっているとわざわざ言って来る人がいてまいった。
75,乳がん,2.1.3.4.,入院中に周囲の人がお見舞いに来て、病人にされた気がして、自分は元気なのにと思った。
76,乳がん,2.1.3.4.,見舞いに来る人が「転移しなくてよかったね」などと大声で話しているのを聞くのが嫌だった。
77,乳がん,2.1.3.4.,手術の翌日でも動けて顔色のいい私を見て、見舞いに来た友人が「やつれていない」とか「動きすぎ」とか自分たちのもっているがんのイメージだけで判断し、病人は病人らしくしろと言われた。元気であることを喜んで欲しかった。あまり見舞いに来られるのも迷惑だと感じた。
78,乳がん,2.1.3.6.,副作用と後遺症で何度も入院を繰り返しつらかった。
79,乳がん,2.2.1.1.,いつ退院できるか、心配だった。
80,乳がん,2.2.1.1.,入院が長引いたり、手術も大変だったりで、術後、リハビリをしなければいけなかったらどうしようか等の不安が1番の悩みであった。
81,乳がん,2.2.1.1.,手術をして放射線をかけた頃、気持ちが落ち込んでしまい、傷が治っているのになぜ退院できないのかといらいらすることがあった。
82,乳がん,2.2.1.2.,手術後、まだ傷のくっつかない状態での退院で、毎日が不安でいっぱいだった。
83,乳がん,2.2.1.2.,手術して短期間で退院を告げられ、痛みや傷の不安を残して退院した。
84,乳がん,2.2.1.2.,退院までに半年かかると言われつらかった。
85,乳がん,2.2.1.2.,手術の後、傷跡から浸出液が出ていたのに、早く退院させられひどく心配だった。
86,乳がん,2.3.1.1.,受診した病院の人間性に欠ける扱いに疑問を抱き、他の病院に移った。
87,乳がん,2.3.1.1.,初めにかかっていた病院から転院することに悩んだが、医師の言葉で決断できた。
88,乳がん,2.3.1.1.,病気の性質上なかなか転院しづらいが、医者との相性があわないことは、がんになったこと以上につらいものである。
89,乳がん,2.3.1.1.,再発部を発見しながら1年間経過観察していたが、突然進行したと言われ、診断に疑問をもち、転院を決めた。
90,乳がん,2.3.1.1.,転院したいと思うときがあるが迷っている。
91,乳がん,2.3.1.2.,前の病院の医師への不信感と、今度の病院での主治医はどのような医師なのかという不安があった。
92,乳がん,2.3.1.2.,転院はどうかと悩んでいる。
93,乳がん,2.3.1.3.,転勤で3～5年ごとに転居するので、新しい病院や先生を探すのに苦労する。手術した先生にみていただけないので、新しい病院でいつも疎外感があった。
94,乳がん,2.3.1.3.,引っ越したが、病院を移るかこのままでいるか迷った。
95,乳がん,2.3.1.3.,家族の転勤が決まり、今後どこで治療を受けるか迷った。
96,乳がん,2.3.1.3.,引っ越したが知人も少ないため元の住所の近くの病院に移ろうかと迷っている。
97,乳がん,2.3.1.4.,患者会から乳腺外科専門の先生を教えてもらい、病院をかえることにした時、先生に言い出しにくく悩んだ。
98,乳がん,2.3.1.4.,どういう治療を選ぶか、どこの病院で温存治療が受けられるか、医師が他の医療機関への転院を承諾し資料等渡してくれるか、心配だった。
100,乳がん,3.1.1.1.,乳房切除手術か乳房温存療法かで迷った。
101,乳がん,3.1.1.1.,治療方法の選択に悩む。
102,乳がん,3.1.1.1.,抗がん剤の効果がわからず、使用するかどうか悩んだ。
103,乳がん,3.1.1.1.,手術、放射線、薬物の3つの治療方法を提示され、どの治療も一長一短で悩んだ。
104,乳がん,3.1.1.1.,外科的治療にするか、内科的治療にするか選択に悩んだ。
105,乳がん,3.1.1.1.,治療の選択に迷い、手術は受けたくないと思った。
